Iteration,Discriminator Loss,Generator Loss
6820,0.798383,0.336928
6830,0.560213,0.120402
6840,1.155616,0.768392
6850,0.968534,0.569592
6860,1.122752,0.673547
6870,0.660472,0.324973
6880,0.989014,0.342007
6890,1.396588,0.395419
6900,1.306742,0.390160
6910,0.953288,0.219518
6920,1.089688,0.525980
6930,1.273809,0.462773
6940,0.889145,0.321217
6950,1.108435,0.650909
6960,0.950309,0.475054
6970,0.870098,0.197496
6980,0.584191,0.275281
6990,0.917072,0.186231
7000,0.972757,0.718713
7010,1.220713,0.639897
7020,0.878873,0.209302
7030,1.066463,0.384557
7040,1.102874,0.846955
7050,1.177745,0.725184
7060,1.199523,0.310267
7070,1.102015,0.483563
7080,1.223683,0.753384
7090,1.336356,0.556004
7100,1.285049,0.608338
7110,1.277501,0.612195
7120,1.263618,0.412645
7130,1.223371,0.810806
7140,1.199728,0.584268
7150,1.077718,0.206931
7160,0.926937,0.158200
7170,1.261138,0.461707
7180,1.289821,0.354952
7190,1.179590,0.487310
7200,1.195697,0.751851
7210,1.034985,0.631931
7220,1.327022,0.539200
7230,1.086483,0.195143
7240,0.837425,0.401310
7250,1.207101,1.157254
7260,0.734994,0.154292
7270,1.283471,0.430019
7280,1.231461,0.508042
7290,1.260174,0.663320
7300,0.834881,0.208880
7310,0.989954,0.763901
7320,0.800003,0.267770
7330,1.189175,0.627750
7340,0.962614,0.357764
7350,1.026735,0.275015
7360,0.904687,0.378468
7370,1.240602,0.728191
7380,1.455190,0.279527
7390,1.287997,0.607059
7400,1.218305,0.847976
7410,1.116092,0.570524
7420,0.862116,0.291563
7430,0.865745,0.291528
7440,1.328625,1.092994
7450,1.200593,0.895309
7460,1.007418,0.311867
7470,1.095510,0.536857
7480,0.828418,0.219299
7490,1.301152,0.828821
7500,1.096779,0.910982
7510,0.758265,0.204299
7520,1.164297,0.575518
7530,0.820843,0.345534
7540,1.183189,0.630428
7550,0.838327,0.318159
7560,1.136689,0.194366
7570,1.271793,0.580575
7580,1.261089,0.554360
7590,1.162713,0.653637
7600,1.210301,0.728507
7610,0.915877,0.369821
7620,1.066519,0.454905
7630,1.131382,0.285460
7640,1.141208,0.833943
7650,1.028876,0.294006
7660,1.221623,0.492388
7670,1.182477,0.894796
7680,1.187624,0.755994
7690,0.851571,0.287554
7700,1.222331,0.847666
7710,0.420524,0.240508
7720,1.983576,0.446391
7730,1.801947,0.298310
7740,1.341938,0.611528
7750,1.291569,0.601317
7760,1.023897,0.381428
7770,1.273852,0.755241
7780,1.233890,0.801465
7790,1.241390,0.786553
7800,0.974109,0.445961
7810,1.054873,0.598389
7820,1.258365,0.782392
7830,1.256915,0.822946
7840,1.269912,0.647090
7850,1.387305,0.597397
7860,1.217560,0.769840
7870,1.260669,0.773928
7880,1.243174,0.748254
7890,1.233854,0.743545
7900,1.265389,0.635369
7910,0.971669,0.429075
7920,1.192840,0.664541
7930,1.385399,0.400613
7940,1.103320,0.411898
7950,1.129028,0.275113
7960,1.269288,0.606016
7970,1.229135,0.489900
7980,1.405624,0.499409
7990,1.362123,1.011539
8000,0.828038,0.287556
8010,0.915271,0.448742
8020,1.360788,0.616165
8030,1.640030,0.382639
8040,1.253267,1.199997
8050,1.261925,0.555851
